Entry,Legal Name,DOB,Contact Info,Residence,Gender,Mother's Name,Mother's Occupation,Mother's Education,Mother's Phone,Father's Name,Father's Occupation,Father's Education,Father's Phone,Education Dates,Secondary School,GPA,Activities,Writing,Fees Status,SAT Score (1600),ACT Score (36),AP Score (15),IB Score (7),TOEFL Score (120),IELTS Score (9),Fraudulent
11,Benjamin Nguyen,05-10-2003,(876) 543-2109,876 Cherry Street,Male,Lily Nguyen,Accountant,Bachelor's Degree,(321) 654-9870,Kevin Nguyen,Engineer,Master's Degree,(901) 234-5678,2019-2023,Cherry Blossom High,4,Math Olympiad,[Personal essay text],Waiver requested,1440,33,15,7,96,9,FALSE
12,Isabella Kim,15-11-2001,(109) 876-5432,109 Magnolia Avenue,Female,Jessica Kim,Nurse Practitioner,Master's Degree,(432) 109-8765,David Kim,Lawyer,Juris Doctorate,(678) 901-2345,2017-2021,Magnolia High School,3.9,Debate Team,[Personal essay text],Not paid,1420,26,13,7,113,8,FALSE
13,Aiden Patel,20-02-2002,(654) 321-0987,654 Rose Boulevard,Male,Priya Patel,Pharmacist,Doctor of Pharmacy,(890) 765-4321,Raj Patel,Business Owner,Bachelor's Degree,(456) 789-0123,2018-2022,Rosewood Academy,3.6,Drama Club,[Personal essay text],Paid,1210,33,15,6,98,9,FALSE
14,Ava Thompson,10-08-2003,(890) 765-4321,890 Lily Lane,Female,Olivia Thompson,Software Developer,Bachelor's Degree,(543) 210-9876,Daniel Thompson,Surgeon,Doctor of Medicine,(234) 567-8901,2019-2023,Lilyvale High School,3.7,Photography Club,[Personal essay text],Waiver requested,1150,33,13,7,111,8,FALSE
15,Jackson Davis,22-06-2001,(321) 654-9870,321 Sunflower Street,Male,Lauren Davis,Teacher,Bachelor's Degree,(210) 987-6543,Brian Davis,Financial Advisor,Master's Degree,(789) 012-3456,2017-2021,Sunflower Preparatory School,3.8,Community Service Club,[Personal essay text],Not paid,1270,32,12,5,105,8,FALSE
16,Alex Johnson,05-02-2003,(999) 888-7777,123 Business Ave,Male,Sarah Johnson,CEO,Master's Degree,(777) 666-5555,John Johnson,Banker,Bachelor's Degree,(555) 444-3333,2010-2014,Business High School,4,Stock Market Club,[Personal essay text],Paid,1240,29,12,5,93,7,TRUE
17,Emma Smith,12-09-2005,(666) 555-4444,456 Apartment St,Female,Mary Smith,Lawyer,Juris Doctorate,(444) 333-2222,David Smith,Engineer,Master's Degree,(222) 111-0000,2015-2018,City High School,3.9,Debate Team,[Personal essay text],Not paid,1230,33,15,5,96,7,TRUE
18,Michael Brown,31-12-2000,(111) 222-3333,789 Elm Plaza,Male,Emily Brown,Doctor,Doctor of Medicine,(222) 333-4444,Kevin Brown,Lawyer,Juris Doctorate,(333) 444-5555,2006-2010,Elmwood High School,3.8,Chess Club,[Personal essay text],Paid,1390,31,13,5,112,9,TRUE
19,Olivia Nguyen,01-07-2007,(777) 888-9999,987 Ivy Tower,Female,Lily Nguyen,Accountant,Bachelor's Degree,(888) 999-0000,David Nguyen,Software Engineer,Master's Degree,(999) 000-1111,2015-2018,Tower High School,4,Coding Club,[Personal essay text],Waiver requested,1160,27,12,7,102,9,TRUE
20,Ethan Wilson,25-04-2001,(444) 555-6666,234 Oak Park,Male,Amanda Wilson,CEO,Master's Degree,(555) 666-7777,Jason Wilson,Chef,Culinary School,(666) 777-8888,2005-2009,Oak Park High School,3.7,Cooking Club,[Personal essay text],Not paid,1300,28,15,4,86,9,TRUE
21,Mia Garcia,20-11-2004,(333) 444-5555,678 Pinecrest,Female,Maria Garcia,Lawyer,Juris Doctorate,(444) 555-6666,Miguel Garcia,Engineer,Master's Degree,(555) 666-7777,2009-2012,Pinecrest High School,3.6,Drama Club,[Personal essay text],Paid,1210,32,15,7,106,9,TRUE
22,Liam Martinez,15-03-2000,(888) 999-0000,321 Broadway Plaza,Male,Olivia Martinez,Artist,Bachelor's Degree,(999) 000-1111,Daniel Martinez,Musician,Bachelor's Degree,(000) 111-2222,2005-2009,Plaza High School,3.8,Art Club,[Personal essay text],Waiver requested,1210,29,14,7,112,9,TRUE
23,Ava Hernandez,10-06-2006,(555) 666-7777,876 Maple Tower,Female,Sophia Hernandez,Financial Analyst,Bachelor's Degree,(666) 777-8888,Carlos Hernandez,Physician,Doctor of Medicine,(777) 888-9999,2013-2017,Tower Prep School,3.9,Science Club,[Personal essay text],Not paid,1210,28,12,6,98,9,TRUE
24,Noah Brown,20-10-2002,(222) 333-4444,109 Cherry Arcade,Male,Olivia Brown,Architect,Bachelor's Degree,(333) 444-5555,Daniel Brown,Doctor,Doctor of Medicine,(444) 555-6666,2016-2020,Arcade High School,3.7,Gaming Club,[Personal essay text],Paid,1210,29,13,4,100,8,TRUE
25,Sophia Kim,05-01-2005,(888) 999-0000,543 Elm Tower,Female,Grace Kim,Software Engineer,Master's Degree,(999) 000-1111,Andrew Kim,Pharmacist,Doctor of Pharmacy,(000) 111-2222,2018-2021,Tower High School,3.6,Coding Club,[Personal essay text],Waiver requested,1310,27,14,4,113,7,TRUE
